transaction_id,sender_account,receiver_account,amount,transaction_type,transaction_channel,transaction_location,transaction_hour,transaction_frequency,average_transaction_amount,account_age_days,previous_transaction_count,previous_suspicious_count,receiver_count,international_transaction,cash_transaction,balance_before,balance_after,label
TXN100000,AC10000103,AC10000182,2309.52,Transfer,Mobile Banking,Kolkata,19,2,6889.26,2711,36,1,6,0,0,227480.02,225170.5,0
TXN100001,AC10000436,AC10000013,10063.63,Transfer,ATM,Delhi,18,1,9147.16,2729,42,0,11,0,0,119269.21,109205.58,0
TXN100002,AC10000349,AC10000339,8278.36,Transfer,Online,Kolkata,1,4,4484.04,2841,48,0,8,0,0,444361.28,436082.92,0
TXN100003,AC10000271,AC10000285,28642.27,Cash Deposit,Online,Kolkata,13,2,54150.28,1858,38,1,14,0,1,240064.83,211422.56,0
TXN100004,AC10000107,AC10000259,2347.48,Transfer,Branch,Mumbai,22,4,14644.87,2622,41,1,9,0,0,234188.21,231840.73,0
TXN100005,AC10000072,AC10000090,7853.15,Cash Withdrawal,ATM,Nagpur,20,3,9705.79,841,39,1,8,0,1,162037.57,154184.42,0
TXN100006,AC10000189,AC10000104,19332.53,Cash Deposit,Online,Nagpur,18,7,27768.5,3006,39,0,2,0,1,27109.62,7777.09,0
TXN100007,AC10000021,AC10000379,6884.78,Transfer,Online,Bengaluru,12,4,11314.56,2569,43,0,14,1,0,144128.53,137243.75,0
TXN100008,AC10000103,AC10000186,5554.83,Cash Withdrawal,ATM,Bengaluru,12,4,16172.91,2636,45,0,1,0,1,280613.5,275058.67,0
TXN100009,AC10000122,AC10000250,16400.07,Transfer,Online,Chennai,5,5,33132.92,2917,37,0,14,0,0,166708.39,150308.32,0
TXN100010,AC10000467,AC10000255,43003.0,Online Payment,Online,Bengaluru,23,4,31275.05,617,31,0,6,0,0,43503.0,500.0,0
TXN100011,AC10000215,AC10000076,8582.43,Online Payment,Mobile Banking,Jaipur,8,4,5706.41,3282,26,1,7,0,0,392812.8,384230.37,0
TXN100012,AC10000331,AC10000386,24400.29,Transfer,Online,Hyderabad,19,2,12099.44,696,34,1,13,0,0,280693.62,256293.33,0
